OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng,Shape_Le_1,Shape_Area
1,1,0.004348,0.685688,16,46.33,1,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",69084.56338,0.681751467,0.004363716
2,2,0.001948,0.289966,17,20.75,2,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",29856.56428,0.288516804,0.001942686
3,3,2.01491,76.419707,17,21681.805,3,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",7679511.945,74.35353123,2.019582184
4,4,0.008869,2.529719,16,94.682,4,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",258055.7161,2.508825163,0.008901897
5,5,0.001761,0.372565,16,18.788,5,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",38207.84927,0.367343808,0.001765468
6,6,0.002512,0.670695,16,26.8,6,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",68395.78291,0.665919014,0.002501035
7,7,0.001744,0.26303,17,18.613,7,1803,8231,48.4,463,17,TM,MA2,LPi,MA2,"Gneiss, migmatite",27808.69187,0.260962158,0.001739633
8,8,0.002263,0.649439,16,24.156,8,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",65294.25748,0.644549735,0.00226384
9,9,0.001307,0.241205,16,13.95,9,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",25278.53075,0.238489666,0.001311021
10,10,0.002736,0.588074,Glacier,29.215,10,3541,6587,26.4,326,0,GG,GG,GG,GG,GG,60817.05945,0.580935867,0.002740169
11,11,0.00794,1.491415,16,84.827,11,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",152563.4225,1.481559338,0.007930575
12,12,0.003716,0.715759,16,39.7,12,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",72550.20197,0.707480377,0.003727362
13,13,0.003659,0.495178,16,39.094,13,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",50306.70414,0.489984606,0.003648111
14,14,0.000991,0.250847,Glacier,10.586,14,3541,6587,26.4,326,0,GG,GG,GG,GG,GG,24756.01478,0.247973851,0.000993392
15,15,0.003585,0.406611,16,38.312,15,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",40277.72213,0.404344232,0.003589549
16,16,0.014475,1.848414,15,154.771,16,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",188201.341,1.831896796,0.014466601
17,17,0.897032,53.402225,14,9670.969,17,550,4124,57,529,14,TM,MA2,RGe,MA2,"Gneiss, migmatite",5445855.439,52.62634411,0.897154215
18,18,0.159607,18.123665,15,1711.755,18,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",1845361.837,17.86249036,0.159599478
19,19,0.007379,2.166628,16,78.959,19,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",223522.7099,2.142807222,0.007414181
20,20,0.001231,0.508935,16,13.173,20,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",51907.68763,0.504876985,0.001238593
21,21,0.001215,0.332933,16,13.003,21,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33732.30407,0.327977346,0.001209076
22,22,0.255194,21.406502,15,2746.761,22,934,5649,56.9,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",2178045.616,21.08907394,0.255148138
23,23,0.001547,0.349572,Ice,16.556,23,3575,6514,46.9,492,0,GG,GG,GG,GG,GG,36124.17396,0.345421419,0.001540482
24,24,0.003566,0.967063,16,38.169,24,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",97720.4681,0.952097852,0.003557287
25,25,0.004291,1.246584,16,45.965,25,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",130518.9978,1.232104276,0.004314165
26,26,0.001654,0.359521,Ice,17.714,26,3575,6514,46.9,492,0,GG,GG,GG,GG,GG,36554.77867,0.354256941,0.001651722
27,27,0.000981,0.219915,Ice,10.506,27,3575,6514,46.9,492,0,GG,GG,GG,GG,GG,22398.87901,0.217321323,0.000981591
28,28,0.001638,0.399902,Ice,17.547,28,3575,6514,46.9,492,0,GG,GG,GG,GG,GG,41392.93901,0.394921176,0.001642619
29,29,0.001016,0.328965,16,10.882,29,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",33516.81716,0.323481011,0.0010172
30,30,0.001398,0.454698,16,14.973,30,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",46520.74961,0.450564613,0.001396763
31,31,0.002426,0.779414,16,25.999,31,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",81438.86956,0.771640056,0.00244388
32,32,0.634798,52.956109,12,6846.522,32,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,5356538.993,51.79911721,0.635928446
33,33,0.002163,0.43165,16,23.185,33,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",43468.2497,0.427315946,0.002152665
34,34,0.0019,0.581256,16,20.368,34,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",59822.45962,0.573747847,0.001893446
35,35,0.002255,0.721686,11,24.179,35,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",72721.44297,0.708145222,0.002259321
36,36,0.001436,0.394012,ice,15.396,36,4399,5728,47.4,504,0,GG,GG,GG,GG,GG,39998.14051,0.386333021,0.00143959
37,37,0.001709,0.665175,11,18.331,37,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",66908.3821,0.651961073,0.001713936
38,38,0.006945,1.551935,11,74.516,38,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",158206.9349,1.525602639,0.006914651
39,39,0.003065,0.539674,16,32.889,39,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",54324.02843,0.530986866,0.003061461
40,40,0.000992,0.762109,9,10.644,40,126,2334,25.4,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,76505.73945,0.753244291,0.000990851
41,41,0.001281,0.426729,12,13.746,41,114,3459,47.6,415,12,TM,MA1,CMe,MA1,Quartzite,43474.98622,0.420497854,0.001286237
42,42,0.003077,0.851572,11,33.028,42,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",85920.5102,0.833117754,0.003085453
43,43,0.001303,0.257802,16,13.979,43,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",26133.94976,0.252590028,0.001300946
44,44,0.000932,0.160297,16,10.008,44,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",16877.40988,0.158472026,0.000936615
45,45,0.001105,0.286706,16,11.86,45,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",29789.3538,0.281982095,0.001106516
46,46,0.001329,0.36807,16,14.271,46,2262,5888,38.8,374,16,TV,UF1,RGe,UF1,"Fluvial, calcareous",37754.35792,0.361201862,0.001326499
47,47,0.001458,0.397599,11,15.655,47,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",40421.62884,0.390055201,0.001455135
48,48,0.001676,0.52301,11,17.996,48,142,3224,39.3,362,11,TM,MB1,CMx,MB1,"slate, phyllite",52784.5013,0.512932316,0.001669935
